Title,Author,Type,Notes
The Trial,Franz Kafka,Confirmed favorite,"bureaucracy, guilt"
The Metamorphosis,Franz Kafka,Confirmed favorite,alienation
The Stranger,Albert Camus,Confirmed favorite,absurdism
The Plague,Albert Camus,Confirmed favorite,ethics under crisis
Notes from Underground,Fyodor Dostoevsky,Confirmed favorite,interiority
The Brothers Karamazov,Fyodor Dostoevsky,Confirmed favorite,"faith, morality"
The Great Gatsby,F. Scott Fitzgerald,Confirmed favorite,"desire, myth"
Dune,Frank Herbert,Recommended,"power, ecology, prophecy"
1984,George Orwell,Recommended,state power
Brave New World,Aldous Huxley,Recommended,pleasure control
Animal Farm,George Orwell,Recommended,allegory of power
We,Yevgeny Zamyatin,Recommended,proto dystopia
Fahrenheit 451,Ray Bradbury,Recommended,"media, censorship"
The Handmaid’s Tale,Margaret Atwood,Recommended,biopolitics
Blindness,José Saramago,Recommended,social unraveling
The Road,Cormac McCarthy,Recommended,"bond, survival"
No Country for Old Men,Cormac McCarthy,Recommended,"fate, violence"
The Crying of Lot 49,Thomas Pynchon,Recommended,"conspiracy, signals"
White Noise,Don DeLillo,Recommended,media haze
Underworld,Don DeLillo,Recommended,American systems
Infinite Jest,David Foster Wallace,Recommended,"entertainment, addiction"
Slaughterhouse Five,Kurt Vonnegut,Recommended,"war, time"
Catch 22,Joseph Heller,Recommended,bureaucratic absurdity
One Hundred Years of Solitude,Gabriel García Márquez,Recommended,"myth, time"
The Master and Margarita,Mikhail Bulgakov,Recommended,"satire, metaphysical"
The Unbearable Lightness of Being,Milan Kundera,Recommended,"love, history"
The Castle,Franz Kafka,Recommended,opaque authority
Crime and Punishment,Fyodor Dostoevsky,Recommended,"guilt, redemption"
Demons,Fyodor Dostoevsky,Recommended,"ideology, chaos"
The Idiot,Fyodor Dostoevsky,Recommended,innocence vs world
Lolita,Vladimir Nabokov,Recommended,"style, unreliable"
Pale Fire,Vladimir Nabokov,Recommended,meta authorship
The Wind Up Bird Chronicle,Haruki Murakami,Recommended,surreal search
Kafka on the Shore,Haruki Murakami,Recommended,"fate, dream"
Norwegian Wood,Haruki Murakami,Recommended,"memory, youth"
Do Androids Dream of Electric Sheep,Philip K. Dick,Recommended,identity
Ubik,Philip K. Dick,Recommended,reality slippage
A Scanner Darkly,Philip K. Dick,Recommended,"surveillance, self"
Neuromancer,William Gibson,Recommended,"cyberspace, noir"
Snow Crash,Neal Stephenson,Recommended,"metaverse, satire"
Cryptonomicon,Neal Stephenson,Recommended,"code, history"
The Left Hand of Darkness,Ursula K. Le Guin,Recommended,"gender, contact"
The Dispossessed,Ursula K. Le Guin,Recommended,"utopia, politics"
The Three Body Problem,Liu Cixin,Recommended,"contact, scale"
Solaris,Stanislaw Lem,Recommended,unknowable other
Roadside Picnic,Arkady and Boris Strugatsky,Recommended,"zones, desire"
Hyperion,Dan Simmons,Recommended,"epic, structure"
Foundation,Isaac Asimov,Recommended,psychohistory
Labyrinths,Jorge Luis Borges,Recommended,infinite texts
Ficciones,Jorge Luis Borges,Recommended,ideas as plots
The Sellout,Paul Beatty,Recommended,"satire, race"
