Title,Author,Type,Notes
Discipline and Punish,Michel Foucault,Confirmed favorite,"institutions, bodies"
The Birth of Biopolitics,Michel Foucault,Confirmed favorite,"governance, markets"
Manufacturing Consent,"Edward S. Herman, Noam Chomsky",Confirmed favorite,"media, power"
Simulacra and Simulation,Jean Baudrillard,Confirmed favorite,"representation, hyperreality"
"The History of Sexuality, Vol. 1",Michel Foucault,Recommended,"knowledge, power"
The Society of the Spectacle,Guy Debord,Recommended,"spectacle, alienation"
Understanding Media,Marshall McLuhan,Recommended,the medium is the message
Amusing Ourselves to Death,Neil Postman,Recommended,culture and television
On Photography,Susan Sontag,Recommended,image ethics
Ways of Seeing,John Berger,Recommended,seeing and ideology
The Age of Surveillance Capitalism,Shoshana Zuboff,Recommended,data and power
The Attention Merchants,Tim Wu,Recommended,attention economy
The Burnout Society,Byung Chul Han,Recommended,exhaustion culture
The Origins of Totalitarianism,Hannah Arendt,Recommended,systems of rule
Eichmann in Jerusalem,Hannah Arendt,Recommended,banality of evil
Permanent Record,Edward Snowden,Recommended,surveillance and whistleblowing
No Place to Hide,Glenn Greenwald,Recommended,Snowden and press
Weapons of Math Destruction,Cathy O’Neil,Recommended,algorithms and harm
Automating Inequality,Virginia Eubanks,Recommended,welfare tech
Atlas of AI,Kate Crawford,Recommended,AI supply chain
Superintelligence,Nick Bostrom,Recommended,AI futures
The Second Machine Age,"Erik Brynjolfsson, Andrew McAfee",Recommended,tech economy
Sapiens,Yuval Noah Harari,Recommended,human story
Homo Deus,Yuval Noah Harari,Recommended,possible futures
The Black Swan,Nassim Nicholas Taleb,Recommended,tail risk
Antifragile,Nassim Nicholas Taleb,Recommended,robust systems
"Thinking, Fast and Slow",Daniel Kahneman,Recommended,cognitive bias
Predictably Irrational,Dan Ariely,Recommended,behavioral quirks
The Righteous Mind,Jonathan Haidt,Recommended,moral psychology
Influence,Robert Cialdini,Recommended,persuasion
Capital in the Twenty First Century,Thomas Piketty,Recommended,inequality
The Price of Inequality,Joseph Stiglitz,Recommended,rent seeking
The Big Short,Michael Lewis,Recommended,financial crisis
Moneyball,Michael Lewis,Recommended,data and sport
The Undoing Project,Michael Lewis,Recommended,Kahneman and Tversky
Bad Blood,John Carreyrou,Recommended,Theranos
The Innovators,Walter Isaacson,Recommended,computing history
Steve Jobs,Walter Isaacson,Recommended,biography
Elon Musk,Walter Isaacson,Recommended,biography
"Creativity, Inc.",Ed Catmull,Recommended,creative leadership
